rank,verb,collocations,ru
4832,impiegare,impiegare metodi innovativi;impiegare molto tempo;impiegare risorse finanziarie;impiegare tutte le energie;impiegare un certo sforzo;impiegato nel settore,использовать/применять/тратить
4836,ridurre,essere ridotto a;ridurre a zero;ridurre i costi;ridurre il rischio;ridurre l'impatto;ridurre la quantità;ridurre la tensione;ridurre la velocità;ridurre le dimensioni;ridurre lo stress,сокращать/уменьшать/снижать
4881,concedere,concedere la vittoria;concedere un intervallo;concedere un prestito;concedere una tregua;concedersi un vizio;concesso il beneficio;concesso il diritto;concesso il permesso;concesso l'accesso;concesso un termine,даровать/предоставлять/уступать
4893,risultare,risulta assente;risulta colpevole;risulta evidente;risulta fondamentale;risulta utile,оказываться/получаться/значиться
4904,allontanare,allontanare i sospetti;allontanare il pericolo;allontanare le persone;allontanare un pensiero,отдалять/отгонять/отстранять
4907,sorridere,sorridere a qualcuno;sorridere amaramente;sorridere apertamente;sorridere con dolcezza;sorridere con ironia;sorridere con malizia;sorridere nervosamente,улыбаться
4908,indicare,indica il colpevole;indica l'ora;indica la direzione;indica la strada;indica un cambiamento;indicare i risultati;indicare la data;indicare la soluzione;indicare la via;indicare una tendenza,указывать/показывать/обозначать
4914,avvertire,avvertire il dolore;avvertire la presenza;avvertire qualcuno;avvertire un pericolo,предупреждать/чувствовать/ощущать
4916,corrispondere,corrisponde al prezzo;corrisponde pienamente a;corrispondere ai requisiti;corrispondere alla realtà;corrispondere alle aspettative,соответствовать/отвечать/переписываться
4944,scavare,scavare il terreno;scavare la roccia;scavare la sabbia;scavare le fondamenta;scavare profondamente;scavare un tunnel;scavare una buca;scavare una fossa,копать/рыть/выкапывать
4946,comprendere,comprendere gli obiettivi;comprendere i rischi;comprendere il significato;comprendere la situazione;comprendere le cause;essere ben compreso;essere pienamente compreso,понимать/осознавать/включать
4968,prenotare,ho prenotato un appuntamento;prenotare un biglietto;prenotare un esame;prenotare un posto;prenotare un soggiorno;prenotare una visita,бронировать/резервировать/заказывать
4972,realizzare,ha realizzato l'obiettivo;ha realizzato un film;ha realizzato un profitto;ha realizzato un sogno;realizzare un compito;realizzare un desiderio;realizzare un disegno;realizzare un investimento;realizzare un obiettivo;realizzare un piano;realizzare un progetto;realizzare un sogno;realizzare un'opera,реализовывать/осуществлять/создавать
4990,contenere,contenere un segreto;contiene elementi;contiene errori;contiene il rischio;contiene informazioni;contiene ingredienti;contiene la verità;contiene sostanze;contiene una spiegazione,содержать/вмещать/сдерживать
4994,incazzare,diventare incazzato;essere incazzato;farsi incazzare;incazzarsi a morte;incazzarsi da matti;incazzarsi di brutto;incazzarsi parecchio;incazzarsi per niente;incazzarsi profondamente;sembrare incazzato;stare incazzato,злить(ся)/бесить(ся)
5012,recitare,recita a memoria;recita un testo;recita una parte;recita una poesia;recitare a memoria;recitare bene;recitare in teatro;recitare la commedia;recitare un ruolo;recitare un testo;recitare una parte;recitare una preghiera;recitare una scena,играть/исполнять/декламировать
5023,sconvogliere,apparire sconvolto;lasciare sconvolto;sconvolgere i piani;sconvolgere l'equilibrio;sconvolgere la vita;sconvolgere le certezze;sembrare sconvolto;sentirsi sconvolto,потрясать/расстраивать/нарушать
5033,suggerire,suggerire cautela;suggerire un percorso;suggerire una strada;suggerisco un cambiamento;suggerisco un libro;suggerisco un'idea;suggerisco una soluzione,предлагать/подсказывать/советовать
5043,avvertare,avvertire un dolore;avvertire un malessere;avverto il bisogno;avverto la mancanza;avverto un cambiamento;avverto un pericolo;avverto una differenza,ощущать/чувствовать/замечать
5053,osare,non osare chiedere;osare andare oltre;osare contraddire;osare dire;osare proporre un'idea;osare sfidare il destino;osare sognare in grande;osare tentare la fortuna,осмеливаться/решаться/дерзать
5059,spingire,spingere i limiti;spingere la folla;spingere la porta;spingi avanti;spingi il tasto;spingi l'acceleratore,толкать/двигать/подталкивать
5066,riparare,riparare il danno;riparare il tetto;riparare l'auto;riparare un elettrodomestico;riparare un errore;riparare un giocattolo;riparare un guasto;riparare un oggetto;riparare un orologio;riparare una sedia,чинить/ремонтировать/исправлять
5071,sbattere,sbattere i denti;sbattere la porta;sbattere la testa;sbattere le palpebre;sbattuto a terra;sbattuto fuori;sbattuto in faccia;sbattuto in prigione,хлопать/бить/швырять
5112,complicare,complicare i rapporti;complicare il compito;complicare il problema;complicare il quadro;complicare la vita;complicare le cose;si complica la situazione;una questione complicata,усложнять/запутывать
5116,drogare,diventare drogato;drogare un atleta;essere drogato;essere drogato pesantemente;risultare drogato;sembrare drogato,наркотизировать/подкармливать наркотиками
5121,coordinare,coordinare gli interventi;coordinare gli sforzi;coordinare i movimenti;coordinare i soccorsi;coordinare il lavoro;coordinare l'azione;coordinare le attività;coordinare le energie;coordinare le fasi;coordinare le risorse,координировать/согласовывать
5183,trascorrere,aver trascorso il tempo;trascorrere i giorni;trascorrere l'estate;trascorrere la serata;trascorrere la vita;trascorrere le vacanze;trascorso molto tempo,проводить/протекать/проходить
5205,autorizzare,autorizzare il pagamento;autorizzare l'operazione;autorizzare una spesa;autorizzato per iscritto;aver autorizzato l'accesso;essere autorizzato a;essere autorizzato all'ingresso;ottenere l'autorizzazione,разрешать/уполномочивать/авторизовать
5230,scaricare,scaricare la batteria;scaricare la merce;scaricare le tensioni;scaricare un camion;scaricare un peso;scaricato i dati;scaricato il file;scaricato il software;scaricato l'app;scaricato un documento,разгружать/скачивать/разряжать
5234,scordare,scordare i dettagli;scordare il passato;scordare tutto;scordare un impegno,забывать/позабыть
5237,spedire,aver spedito un pacco;aver spedito una lettera;aver spedito una mail;essere spedito per posta;spedire con urgenza;spedire la merce;spedire un collo;spedire un documento;spedire un ordine,отправлять/посылать/пересылать
5238,seppellire,corpo sepolto;essere sepolto vivo;restare sepolto;rimanere sepolto;seppellire i resti;seppellire il passato;seppellire le speranze,хоронить/погребать/зарывать
5250,stabilire,aver stabilito un prezzo;stabilire le regole;stabilire obiettivi;stabilire priorità;stabilire un accordo;stabilire un contatto;stabilire un limite;stabilire un prezzo;stabilire un principio;stabilire un record;stabilire una data;stabilito per legge;stabilito un contatto;stabilito un record,устанавливать/определять/закреплять
5272,rivolgere,rivolgere l'attenzione;rivolgere la parola;rivolgere lo sguardo;rivolgere parole a qualcuno;rivolgere un elogio;rivolgere un sospetto;rivolgere un'accusa;rivolgere una domanda;rivolgersi a qualcuno,обращать/направлять/адресовать
5285,obbligare,essere obbligato a;essere obbligato per legge;obbligare al silenzio;obbligare alla resa;obbligare qualcuno;sentirsi obbligato a;si sente obbligato,обязывать/заставлять/принуждать
5292,lavare,lavare i capelli;lavare i denti;lavare i panni;lavare i pavimenti;lavare i piatti;lavare il viso;lavare la frutta;lavare la macchina;lavare la verdura;lavare le mani,мыть/стирать/промывать
5314,interroggere,interrogare gli studenti;interrogare i presenti;interrogare la polizia;interrogare un detenuto;interrogare un esperto;interrogare un imputato;interrogare un indagato;interrogare un sospettato;interrogare un testimone;interrogare un ufficiale,допрашивать/опросить/экзаменовать
5343,riflettere,riflette la luce;riflettere a fondo;riflettere attentamente;riflettere la realtà;riflettere su qualcosa;riflettere sul passato;riflettere sulla questione,отражать/размышлять/обдумывать
5354,scontare,aver scontato la pena;prendere per scontato;risultare scontato;scontare il deficit;scontare un prezzo;scontare una condanna;un risultato scontato,отбывать/скидывать/считать само собой разумеющимся
5364,sostenere,sostenere un avvocato;sostenere un costo;sostenere un esame;sostenere una discussione;sostenere una sfida;sostenere una tesi;sostengono una posizione;sostiene il peso;sostiene l'idea;sostiene la tesi,поддерживать/утверждать/выдерживать
5365,cenare,cenare a lume di candela;cenare abbondantemente;cenare al ristorante;cenare con leggerezza;cenare fuori;cenare in famiglia;cenare in silenzio;cenare insieme;cenare presto;cenare tardi,ужинать
5375,aumentare,aumentare di peso;aumentare i prezzi;aumentare il rischio;aumentare il volume;aumentare la domanda;aumentare la produzione;aumentare la tensione;aumentare la velocità;aumentare le possibilità;aumentare le vendite,увеличивать/повышать/возрастать
5382,risparmiare,risparmiare acqua;risparmiare energia;risparmiare fatica;risparmiare il fiato;risparmiare le energie;risparmiare le forze;risparmiare soldi;risparmiare tempo,экономить/беречь/откладывать
5398,telefonare,telefonare a qualcuno;telefonare con urgenza;telefonato a casa;telefonato per sbaglio,звонить/телефонировать
5399,sprecare,sprecare cibo;sprecare energia;sprecare il potenziale;sprecare il talento;sprecare le forze;sprecare parole;sprecare risorse;sprecare soldi;sprecare tempo;sprecare un'opportunità,тратить впустую/растрачивать/расточать
5411,includere,essere incluso;essere incluso nel prezzo;includere i costi;includere le spese;includere tutti gli elementi;includere un dettaglio;includere una clausola;rimanere incluso;risultare incluso,включать/охватывать/содержать
5436,accedere,accedere a internet;accedere ai contenuti;accedere ai dati;accedere al conto;accedere al servizio;accedere al sistema;accedere al sito;accedere all'area riservata;accedere alla funzione;accedere alle informazioni,получать доступ/входить/подключаться
5437,attirare,attirare clienti;attirare curiosità;attirare investimenti;attirare l'ammirazione;attirare l'attenzione;attirare l'interesse;attirare risorse;attirare sguardi;attirare sospetti;attirare visitatori,привлекать/притягивать/завлекать
5459,rivelare,rivelare i dettagli;rivelare i fatti;rivelare l'identità;rivelare la verità;rivelare un segreto;rivelato al pubblico,раскрывать/обнаруживать/разоблачать
5470,soddisfare,essere soddisfatto;rimanere soddisfatto;sembrare soddisfatto;sentirsi soddisfatto;soddisfare i requisiti;soddisfare la domanda;soddisfare le aspettative;soddisfare un bisogno;soddisfare una richiesta,удовлетворять/исполнять/выполнять
5477,assegnare,assegnare i fondi;assegnare le risorse;assegnare un budget;assegnare un incarico;assegnato un compito;assegnato un posto;assegnato un premio;assegnato un ruolo,назначать/распределять/присваивать
5501,pervertire,apparire pervertito;diventare pervertito;essere pervertito;pervertire i costumi;pervertire la mente;pervertire un minore;risultare pervertito;sembrare pervertito,извращать/совращать/развращать
5527,apparire,apparire all'improvviso;apparire calmo;apparire come soluzione;apparire improvvisamente;apparire nel cielo;apparire preoccupato;apparire sorpreso;apparire stanco;apparire sulla scena,появляться/казаться/возникать
5533,guarire,essere guarito;guarire completamente;guarire da una malattia;guarire del tutto;guarire in fretta;guarire le ferite;guarire presto;rimanere guarito,исцелять/вылечивать/заживлять
5594,bucare,bucare il cuore;bucare la bolla;bucare la pelle;bucare lo schermo;bucare un pallone;bucare un pneumatico;bucare un sacco;ho bucato una gomma;venire bucato,прокалывать/пробивать/дырявить
5607,fissare,abbiamo fissato l'orario;fissare l'obiettivo;fissare la data;fissare le regole;fissare lo sguardo;fissare un appuntamento;fissare un limite;fissare un obiettivo;fissare un prezzo;fissare un punto;fissare una scadenza;ha fissato il prezzo;ha fissato la data;ho fissato un appuntamento;ho fissato un incontro,устанавливать/закреплять/назначать
5619,riempire,riempire di parole;riempire i cassetti;riempire il tempo;riempire il vuoto;riempire la borsa;riempire le tasche;riempire lo spazio;riempire un bicchiere;riempire un contenitore;riempire un modulo,заполнять/наполнять
5656,assistere,assistere a un concerto;assistere a un evento;assistere a una riunione;assistere i disabili;assistere il paziente;assistere la persona anziana;assistere un cliente;assistere un malato;essere assistito da esperti,присутствовать/помогать/ассистировать
5661,garantire,garantire i diritti;garantire il rispetto;garantire l'assistenza;garantire la sicurezza;garantisco il pagamento;garantisco il risultato;garantisco la qualità,гарантировать/обеспечивать/ручаться
5665,nominare,essere nominato capo;essere nominato ministro;essere nominato presidente;essere nominato ufficiale;nominare un erede;nominare un rappresentante;nominare un responsabile;nominare un sospettato;venire nominato membro,назначать/называть/выдвигать
5671,esprimere,esprimere chiaramente;esprimere consenso;esprimere dubbi;esprimere gratitudine;esprimere preoccupazione;esprimere sentimenti;esprimere un concetto;esprimere un desiderio;esprimere un parere;esprimere un'opinione,выражать/проявлять/излагать
5694,chiarire,chiarire gli aspetti;chiarire i dubbi;chiarire i fatti;chiarire il concetto;chiarire l'equivoco;chiarire la posizione;chiarire la situazione;chiarire le idee;chiarire un malinteso;chiarire un punto,прояснять/разъяснять/уточнять
5695,concludere,aver concluso l'accordo;concludere un contratto;concludere un progetto;concludere un ragionamento;concludere una partita;concludere una trattativa;concluso con successo;concluso l'affare,заключать/завершать/заканчивать
5709,addormentare,addormentare i sensi;addormentare il pubblico;addormentare la folla;addormentare la mente;addormentare un bambino;addormentarsi profondamente,усыплять/успокаивать
5725,comandare,comanda tutto;comandare con pugno di ferro;comandare l'esercito;comandare un reparto;comandare un'azienda;comandare una squadra,командовать/управлять/приказывать
5745,esaminare,esaminare attentamente;esaminare i dettagli;esaminare i documenti;esaminare i risultati;esaminare il caso;esaminare la domanda;esaminare la situazione;esaminare le prove;esaminare un sospetto;esaminare una prova,рассматривать/исследовать/экзаменовать
5750,nascondire,nascondere il volto;nascondere la faccia;nascondere la testa;nascondersi dal mondo;nascondersi in un angolo;nascondi i sentimenti;nascondi l'emozione;nascondi la verità;nascondi le tracce;nascondi un segreto,прятать/скрывать/укрывать
5757,collaborare,collaborare a un progetto;collaborare alla ricerca;collaborare attivamente;collaborare con qualcuno;collaborare costantemente;collaborare intensamente;collaborare proficuamente;collaborare segretamente;collaborare spontaneamente;collaborare strettamente,сотрудничать
5758,sfuggire,sfuggire a qualcuno;sfuggire al controllo;sfuggire alla cattura;sfuggire alla legge;sfuggire alla memoria;sfuggire alla realtà;sfuggire alla sorveglianza;sfuggire alla vista;sfuggire di mano,ускользать/избегать/бежать
5760,annullare,annullare il contratto;annullare il matrimonio;annullare il volo;annullare l'appuntamento;annullare l'effetto;annullare l'evento;annullare la gara;annullare la prenotazione;annullare un ordine,аннулировать/отменять/упразднять
5764,vietare,assolutamente vietato;viene vietato l'uso;vieta la vendita;vietare l'accesso;vietato fumare;vietato l'ingresso;vietato sostare,запрещать/воспрещать
5772,svolgere,svolgere un compito;svolgere un esame;svolgere un esperimento;svolgere un incarico;svolgere un lavoro;svolgere un'analisi;svolgere un'attività;svolgere un'indagine;svolgere una funzione;svolgere una ricerca,выполнять/осуществлять/проводить
5785,premere,premere con decisione;premere forte;premere il comando;premere il grilletto;premere il pedale;premere il pulsante;premere invio;premere l'acceleratore;premere la leva;premere un tasto,нажимать/давить/настаивать
5792,assassinare,assassinare un innocente;essere brutalmente assassinato;tentativo di assassinare;venire assassinato,убивать/умерщвлять/ликвидировать
5800,prestare,prestare aiuto;prestare attenzione;prestare denaro;prestare giuramento;prestare il fianco;prestare il nome;prestare servizio;prestare un favore;prestare un'impronta,одалживать/оказывать/обращать
5805,divorziare,decidere di divorziare;dichiararsi divorziato;divorziare con difficoltà;divorziare in amicizia;divorziare legalmente;essere divorziato;risultare divorziato;trovarsi divorziato,разводиться
5829,pianificare,aver pianificato tutto;pianificare il futuro;pianificare l'attacco;pianificare la crescita;pianificare un viaggio;pianificare una strategia;pianificato accuratamente;pianificato in anticipo;pianificato nei dettagli,планировать
5830,trascinare,essere trascinato fuori;essere trascinato in;essere trascinato via;trascinare i piedi;trascinare la coda;trascinare un processo;trascinare una discussione,тащить/волочить/затягивать
5864,ritirare,ritirare i soldi;ritirare i vestiti;ritirare il passaporto;ritirare l'offerta;ritirare la denuncia;ritirare le truppe;ritirare un prodotto;ritirare una candidatura;ritirarsi in meditazione,забирать/снимать/отзывать
5924,dividere,dividere a metà;dividere i compiti;dividere i profitti;dividere il conto;dividere il territorio;dividere in parti;dividere l'attenzione;dividere la torta;dividere le opinioni,делить/разделять/разделяться
5930,compromettere,compromettere i rapporti;compromettere il futuro;compromettere il risultato;compromettere l'immagine;compromettere l'integrità;compromettere la credibilità;compromettere la posizione;compromettere la salute;compromettere la sicurezza,компрометировать/подрывать/ставить под угрозу
5931,concordare,concordare i dettagli;concordare i termini;concordare le condizioni;concordare un prezzo;concordare una data;concordo in pieno,согласовывать/договариваться
5935,concorrere,concorrere a un fine;concorrere al successo;concorrere alla risoluzione;concorrere alla vittoria;concorrere allo sviluppo;vincere il concorso,содействовать/участвовать/конкурировать
5949,sconfiggere,essere sconfitto duramente;sconfiggere i pregiudizi;sconfiggere il nemico;sconfiggere l'avversario;sconfiggere l'opposizione;sconfiggere la fame;sconfiggere la malattia;sconfiggere la paura;sconfiggere la povertà,побеждать/разбивать/одолевать
5958,programmare,abbiamo programmato una visita;ha programmato l'incontro;ho programmato un viaggio;programmare i contenuti;programmare il software;programmare la strategia;programmare un evento,программировать/планировать
5968,rinchiudere,essere rinchiuso;restare rinchiuso;rimanere rinchiuso;rinchiudere in un armadio;rinchiudere in un cassetto;rinchiudere in una cella;rinchiudere in una scatola;rinchiudere in una stanza;tenere rinchiuso;trovarsi rinchiuso,запирать/заключать/заточать
5982,infrangere,infrangere gli accordi;infrangere i tabù;infrangere l'incantesimo;infrangere le promesse;infrangere le regole;infranto il cuore;infranto il silenzio;infranto la legge;infranto un record,нарушать/сокрушать/ломать
5990,strappare,strappare i vestiti;strappare la carta;strappare le pagine;strappare una foto;strappato un foglio;strappato un segreto;strappato un sorriso,рвать/оторвать/вырывать
6007,provenire,provengono da diverse fonti;provengono da paesi esteri;provengono da studi scientifici;provengono da un errore;proviene da lontano;proviene dal passato;proviene dalla tradizione,происходить/поступать
6036,denunciare,denunciare un abuso;denunciare un colpevole;denunciare un crimine;denunciare un fatto;denunciare un furto;denunciare un reato;denunciare un sospetto;denunciare una truffa;essere denunciato;venire denunciato,заявлять/обвинять/доносить
6061,attendere,attendere con ansia;attendere il momento;attendere il responso;attendere in silenzio;attendere l'arrivo;attendere notizie;attendere pazientemente;attendere un segnale;attendere una risposta,ждать/ожидать/дожидаться
6081,osservare,osservare attentamente;osservare con attenzione;osservare i dettagli;osservare i fenomeni;osservare il cielo;osservare il comportamento;osservare la scena;osservare le leggi;osservare le stelle;osservare un esperimento,наблюдать/соблюдать/рассматривать
6093,insistere,insistere con forza;insistere in una richiesta;insistere nel dire;insistere per ottenere;insistere ripetutamente;insistere senza sosta;insistere su un punto;insistere sulla decisione,настаивать/упорствовать
6104,votare,andare a votare;votare con convinzione;votare contro qualcuno;votare in massa;votare per qualcuno;votare segretamente;votare un candidato;votare una legge,голосовать
6124,rimuovere,rimuovere dal potere;rimuovere i dubbi;rimuovere le tracce;rimuovere un blocco;rimuovere un dubbio;rimuovere un impedimento;rimuovere un oggetto;rimuovere un ostacolo;rimuovere un sospetto;rimuovere una macchia,удалять/устранять/снимать
6125,rimettere,rimettere a disposizione;rimettere al proprio posto;rimettere in chiaro;rimettere in discussione;rimettere in dubbio;rimettere in libertà;rimettere in moto;rimettere in ordine;rimettere in scena,возвращать/ставить обратно/возобновлять
6133,fornire,fornire aiuto;fornire assistenza;fornire i dati;fornire indicazioni;fornire informazioni;fornire prove;fornire risposte;fornire servizi;fornire spiegazioni;fornire supporto,предоставлять/снабжать/обеспечивать
6139,esagerare,esagerare i complimenti;esagerare il racconto;esagerare la dose;esagerare le dimensioni,преувеличивать/сгущать краски
6146,tacere,continuare a tacere;decidere di tacere;imparare a tacere;obbligato a tacere;preferire tacere;scelta di tacere;stare a tacere;tacere la verità,молчать/умалчивать
6151,ritrarre,ritrarre con cura;ritrarre fedelmente;ritrarre la realtà;ritrarre un dettaglio;ritrarre un paesaggio;ritrarre un soggetto;ritrarre un volto;ritrarre un'espressione;ritrarre una scena,изображать/рисовать/портретировать
6172,dedicare,dedicare l'attenzione;dedicare la vita;dedicare le energie;dedicare ogni sforzo;dedicare tempo allo studio;dedicare un incontro;dedicare un libro;dedicare un monumento;dedicare una canzone;dedicarsi al lavoro,посвящать/уделять
6175,scadere,scadere il contratto;scadere il termine;scadere il termine ultimo;scadere l'offerta;scadere la licenza;scadere la validità,истекать/заканчиваться/просрочиваться
6203,divenire,divenire adulti;divenire invisibile;divenire parte integrante;divenire realtà;divenire un problema;diventare amici;diventare consapevole;diventare esperti;diventare famosi;diventare maturi,становиться/стать
6206,ritenere,ritenere colpevole;ritenere consono;ritenere errato;ritenere fondamentale;ritenere importante;ritenere necessario;ritenere opportuno;ritenere utile;ritenere valido;ritenere vero,считать/полагать/удерживать
6211,circondare,circondare con gli occhi;circondare un edificio;circondare un'area;circondare una città;circondare una proprietà;essere circondati da nemici;essere circondato dal silenzio;essere circondato di alberi,окружать
6235,compiere,compiere un anno;compiere un atto;compiere un crimine;compiere un dovere;compiere un errore;compiere un gesto;compiere un miracolo;compiere un sacrificio;compiere un viaggio;compiere una missione,совершать/выполнять/исполнять
6236,intervenire,intervenire a sostegno;intervenire con decisione;intervenire d'ufficio;intervenire in un conflitto;intervenire nel merito;intervenire nella discussione;intervenire prontamente;intervenire sul campo;intervenire tempestivamente,вмешиваться/участвовать/происходить
6281,avvelenare,avvelenare i rapporti;avvelenare il cibo;avvelenare il terreno;avvelenare l'acqua;avvelenare l'ambiente;avvelenare l'aria;avvelenare la mente;avvelenare un animale;avvelenare una persona,отравлять/ядовить
6292,cavare,cavare il marmo;cavare la terra;cavare notizie;cavare un profitto;cavare un segreto;cavare un senso;cavare un sorriso;cavare un vantaggio;cavare un'idea,извлекать/вынимать/добывать
6299,reagire,reagire a un farmaco;reagire agli insulti;reagire all'attacco;reagire alla critica;reagire alle provocazioni;reagire con decisione;reagire con entusiasmo;reagire con forza;reagire con rabbia;reagire prontamente,реагировать/откликаться
6305,ossessionare,essere ossessionata dai sensi di colpa;essere ossessionato da qualcosa;essere ossessionato da qualcuno;essere ossessionato dal controllo;essere ossessionato dal lavoro;essere ossessionato dalla bellezza;ossessionare i pensieri;ossessionare la mente,одерживать/преследовать/мучить
6310,ignorare,ignorare completamente;ignorare i consigli;ignorare i fatti;ignorare il problema;ignorare la legge;ignorare la realtà;ignorare le regole;ignorare un avviso;venire ignorato,игнорировать/пренебрегать
6312,somigliare,somiglia a un artista;somiglia a un fratello;somiglia al padre;somiglia alla madre;somigliare in tutto;somigliare vagamente,походить/быть похожим
6344,pisciare,andare a pisciare;aver voglia di pisciare;cominciare a pisciare;continuare a pisciare;smettere di pisciare,мочиться/писать
6347,verificare,verificare i dati;verificare i risultati;verificare il funzionamento;verificare l'identità;verificare la presenza;verificare la validità;verificare la verità;verificare le informazioni;verificare un sospetto,проверять/удостоверяться
6368,vergognare,vergognarsi del passato;vergognarsi di qualcosa;vergognarsi di tutto;vergognarsi profondamente;vergognarsi pubblicamente,стыдиться/стесняться
6372,avvisare,avvisare del pericolo;avvisare di un cambiamento;avvisare i familiari;avvisare il cliente;avvisare l'ufficio;avvisare la polizia;avvisare per conoscenza;avvisare qualcuno;avvisare tempestivamente,предупреждать/уведомлять
6377,restituire,"restituire i beni;restituire i soldi;restituire il denaro;restituire il favore;restituire il libro;restituire il maltempo (No, that's not a thing) -> restituire il maltempo is wrong. Let's use ""restituire i beni"".;restituire l'oggetto;restituire la merce;restituire la proprietà;restituire la somma;restituire un documento;restituire un favore;restituire un libro;restituire un prestito",возвращать/отдавать
6408,aggiustare,aggiustare i conti;aggiustare il letto;aggiustare il meccanismo;aggiustare il motore;aggiustare il tiro;aggiustare l'orologio;aggiustare la mira;aggiustare la posizione;aggiustare la sedia;aggiustare un errore,чинить/поправлять/настраивать
6415,rimandare,rimandare a domani;rimandare il processo;rimandare l'appuntamento;rimandare l'esame;rimandare l'inizio;rimandare la decisione;rimandare la partita;rimandare la questione;rimandare la scadenza;rimandare un incontro,откладывать/переносить
6421,dicere,dire basta;dire chiaramente;dire la verità;dire le cose come stanno;dire no;dire sì;dire tutto;dire una bugia,говорить/сказать
6424,progettare,progettare un edificio;progettare un futuro;progettare un impianto;progettare un piano;progettare un ponte;progettare un prodotto;progettare un sistema;progettare un software;progettare un'opera;progettare una strategia,проектировать/планировать
6435,tolgere,togliere di mezzo;togliere i dubbi;togliere il cappello;togliere il disturbo;togliere il peso;togliere il superfluo;togliere la maschera;togliere la voglia;togliere le scarpe;togliere un dubbio,снимать/убирать/отнимать
6436,appropriare,appropriarsi dei fondi;appropriarsi del denaro;appropriarsi della proprietà;appropriarsi di beni;appropriarsi di informazioni;appropriarsi di segreti;appropriarsi di un merito;appropriarsi di un oggetto;appropriarsi di una scoperta,присваивать/завладевать
6442,ridare,ridare coraggio;ridare dignità;ridare fiducia;ridare gioia;ridare prestigio;ridare slancio;ridare speranza;ridare un bacio;ridare valore;ridare vita,возвращать/отдавать обратно
6444,richiamare,richiamare all'ordine;richiamare alla mente;richiamare i propri ordini;richiamare l'attenzione;richiamare la memoria;richiamare un cliente;richiamare un collaboratore;richiamare un numero;richiamare un sospetto,вызывать/перезванивать/призывать
6470,frequentare,frequentare certi ambienti;frequentare i mezzi pubblici;frequentare l'università;frequentare la scuola;frequentare un corso;frequentare un locale;frequentare un ufficio;frequentare una festa;frequentare una persona,посещать/бывать/общаться
6484,cogliere,cogliere il momento;cogliere il senso;cogliere l'attimo;cogliere un dettaglio;cogliere un fiore;cogliere un frutto;cogliere un suggerimento;cogliere un'idea;cogliere un'occasione,срывать/ловить/уловлять
6494,incolpare,incolpare il responsabile;incolpare ingiustamente;incolpare l'interessato;incolpare qualcuno;incolpare senza prove;incolpare un sospettato,обвинять/винить
6505,ingannare,essere ingannato;ingannare i sensi;ingannare il cliente;ingannare l'occhio;ingannare la sorte;ingannare la vista;ingannare qualcuno;ingannare se stessi;ingannare un amico,обманывать/обмануть
6509,eccitare,eccitare gli animi;eccitare i sensi;eccitare il pubblico;eccitare l'immaginazione;eccitare la curiosità;eccitare la fantasia;eccitare la mente;eccitare le passioni;rimanere eccitato;sentirsi eccitato,возбуждать/волновать
6517,pubblicare,pubblicare un album;pubblicare un articolo;pubblicare un comunicato;pubblicare un libro;pubblicare un post;pubblicare un report;pubblicare un romanzo;pubblicare un saggio;pubblicare una notizia,публиковать/издавать
6522,pescare,pescare a strascico;pescare con l'amo;pescare con la canna;pescare con la rete;pescare in acque dolci;pescare in mare;pescare sottocosta;pescare un pesce,ловить рыбу/выуживать
6524,formulare,formulare un piano;formulare un progetto;formulare un quesito;formulare un sospetto;formulare un'ipotesi;formulare una domanda;formulare una risposta;formulare una strategia;formulare una teoria,формулировать
6548,tare,tare il barattolo;tare il contenitore;tare il contenitore vuoto;tare il peso;tare il piatto;tare il recipiente;tare il sacco;tare la bilancia;tare la vaschetta;tare lo strumento,тари́ровать/вычитать вес тары
6569,scattare,scattare l'allarme;scattare la molla;scattare la scintilla;scattare un colpo;scattare una foto,щёлкать/фотографировать/срабатывать
6586,negare,negare i fatti;negare il permesso;negare il sostegno;negare l'accesso;negare l'esistenza;negare l'evidenza;negare la colpa;negare la verità;negare ogni cosa;negare un diritto,отрицать/отказывать
6588,occorrere,occorre fare attenzione;occorre maggiore precisione,требоваться/быть нужным
6592,ricercare,ricercare conferme;ricercare il successo;ricercare l'eccellenza;ricercare la perfezione;ricercare la verità;ricercare nuovi mercati;ricercare soluzioni;ricercare un colpevole;ricercare una cura;un prodotto ricercato,исследовать/разыскивать/искать
6615,disturbare,disturbare costantemente;disturbare il lavoro;disturbare il riposo;disturbare il sonno;disturbare la concentrazione;disturbare la privacy;disturbare la quiete;disturbare qualcuno;essere disturbato,беспокоить/мешать/нарушать
6633,incasinare,incasinare i piani;incasinare il lavoro;incasinare la testa;incasinare le cose;incasinare tutto;situazione incasinata;un sistema incasinato;vita incasinata,запутывать/путать/усложнять
6660,analizzare,analizzare attentamente i fatti;analizzare i costi;analizzare i dati;analizzare i risultati;analizzare il mercato;analizzare il problema;analizzare la situazione;analizzare le cause;analizzare un campione;analizzare un testo,анализировать
6700,trasportare,trasportare attrezzature;trasportare carichi pesanti;trasportare cibo;trasportare liquidi;trasportare materiali pericolosi;trasportare merci;trasportare oggetti ingombranti;trasportare passeggeri;trasportare sostanze chimiche;trasportare valori,транспортировать/перевозить
6711,soffiare,ha dato una soffiata;soffia aria calda;soffia una brezza leggera;soffiare via le foglie;soffiata di vento;un colpo di soffiata,дуть/сдувать
