Verb Conjugation A1 Italian (Drill)
я устал (essere stanco);Io sono stanco.
они полагают, что мы уже выпили кофе (bere un caffè);Loro suppongono che noi abbiamo bevuto un caffè.
я думаю, что вы уже выпили кофе (bere un caffè);Io penso che voi abbiate bevuto un caffè.
он верит, что они уже выпили кофе (bere un caffè);Lui crede che loro abbiano bevuto un caffè.
я приезжаю с опозданием (arrivare in ritardo);Io arrivo in ritardo.
ты приезжаешь с опозданием (arrivare in ritardo);Tu arrivi in ritardo.
он приезжает с опозданием (arrivare in ritardo);Lui arriva in ritardo.
она приезжает с опозданием (arrivare in ritardo);Lei arriva in ritardo.
мы приезжаем с опозданием (arrivare in ritardo);Noi arriviamo in ritardo.
вы приезжаете с опозданием (arrivare in ritardo);Voi arrivate in ritardo.
они приезжают с опозданием (arrivare in ritardo);Loro arrivano in ritardo.
я приезжал с опозданием (arrivare in ritardo);Io arrivavo in ritardo.
ты приезжал с опозданием (arrivare in ritardo);Tu arrivavi in ritardo.
он приезжал с опозданием (arrivare in ritardo);Lui arrivava in ritardo.
она приезжала с опозданием (arrivare in ritardo);Lei arrivava in ritardo.
мы приезжали с опозданием (arrivare in ritardo);Noi arrivavamo in ritardo.
вы приезжали с опозданием (arrivare in ritardo);Voi arrivavate in ritardo.
они приезжали с опозданием (arrivare in ritardo);Loro arrivavano in ritardo.
я прибыл с опозданием (arrivare in ritardo);Io arrivai in ritardo.
ты прибыл с опозданием (arrivare in ritardo);Tu arrivasti in ritardo.
он прибыл с опозданием (arrivare in ritardo);Lui arrivò in ritardo.
она прибыла с опозданием (arrivare in ritardo);Lei arrivò in ritardo.
мы прибыли с опозданием (arrivare in ritardo);Noi arrivammo in ritardo.
вы прибыли с опозданием (arrivare in ritardo);Voi arrivaste in ritardo.
они прибыли с опозданием (arrivare in ritardo);Loro arrivarono in ritardo.
я пришёл с опозданием (arrivare in ritardo);Io sono arrivato in ritardo.
ты пришёл с опозданием (arrivare in ritardo);Tu sei arrivato in ritardo.
он пришёл с опозданием (arrivare in ritardo);Lui è arrivato in ritardo.
она пришла с опозданием (arrivare in ritardo);Lei è arrivata in ritardo.
мы пришли с опозданием (arrivare in ritardo);Noi siamo arrivati in ritardo.
вы пришли с опозданием (arrivare in ritardo);Voi siete arrivati in ritardo.
они пришли с опозданием (arrivare in ritardo);Loro sono arrivati in ritardo.
я уже пришёл с опозданием (arrivare in ritardo);Io ero arrivato in ritardo.
ты уже пришёл с опозданием (arrivare in ritardo);Tu eri arrivato in ritardo.
он уже пришёл с опозданием (arrivare in ritardo);Lui era arrivato in ritardo.
она уже пришла с опозданием (arrivare in ritardo);Lei era arrivata in ritardo.
мы уже пришли с опозданием (arrivare in ritardo);Noi eravamo arrivati in ritardo.
вы уже пришли с опозданием (arrivare in ritardo);Voi eravate arrivati in ritardo.
они уже пришли с опозданием (arrivare in ritardo);Loro erano arrivati in ritardo.
я приду с опозданием (arrivare in ritardo);Io arriverò in ritardo.
ты придешь с опозданием (arrivare in ritardo);Tu arriverai in ritardo.
он придет с опозданием (arrivare in ritardo);Lui arriverà in ritardo.
она придет с опозданием (arrivare in ritardo);Lei arriverà in ritardo.
мы придем с опозданием (arrivare in ritardo);Noi arriveremo in ritardo.
вы придете с опозданием (arrivare in ritardo);Voi arriverete in ritardo.
они придут с опозданием (arrivare in ritardo);Loro arriveranno in ritardo.
я уже приеду с опозданием (arrivare in ritardo);Io sarò arrivato in ritardo.
ты уже приедешь с опозданием (arrivare in ritardo);Tu sarai arrivato in ritardo.
он уже приедет с опозданием (arrivare in ritardo);Lui sarà arrivato in ritardo.
она уже приедет с опозданием (arrivare in ritardo);Lei sarà arrivata in ritardo.
мы уже приедем с опозданием (arrivare in ritardo);Noi saremo arrivati in ritardo.
вы уже приедете с опозданием (arrivare in ritardo);Voi sarete arrivati in ritardo.
они уже приедут с опозданием (arrivare in ritardo);Loro saranno arrivati in ritardo.
я бы пришел поздно (arrivare in ritardo);Io arriverei in ritardo.
ты бы пришел поздно (arrivare in ritardo);Tu arriveresti in ritardo.
он бы пришел поздно (arrivare in ritardo);Lui arriverebbe in ritardo.
она бы пришла поздно (arrivare in ritardo);Lei arriverebbe in ritardo.
мы бы пришли поздно (arrivare in ritardo);Noi arriveremmo in ritardo.
вы бы пришли поздно (arrivare in ritardo);Voi arrivereste in ritardo.
они бы пришли поздно (arrivare in ritardo);Loro arriverebbero in ritardo.
я бы приехал поздно (arrivare in ritardo);Io sarei arrivato in ritardo.
ты бы приехал поздно (arrivare in ritardo);Tu saresti arrivato in ritardo.
он бы приехал поздно (arrivare in ritardo);Lui sarebbe arrivato in ritardo.
она бы приехала поздно (arrivare in ritardo);Lei sarebbe arrivata in ritardo.
мы бы приехали поздно (arrivare in ritardo);Noi saremmo arrivati in ritardo.
вы бы приехали поздно (arrivare in ritardo);Voi sareste arrivati in ritardo.
они бы приехали поздно (arrivare in ritardo);Loro sarebbero arrivati in ritardo.
он хочет, чтобы я пришел с опозданием (arrivare in ritardo);Lui vuole che io arrivi in ritardo.
она боится, что ты придешь с опозданием (arrivare in ritardo);Lei teme che tu arrivi in ritardo.
я думаю, что он придет с опозданием (arrivare in ritardo);Io penso che lui arrivi in ritardo.
я думаю, что она придет с опозданием (arrivare in ritardo);Io penso che lei arrivi in ritardo.
он надеется, что мы придем с опозданием (arrivare in ritardo);Lui spero che noi arriviamo in ritardo.
я верю, что вы придете с опозданием (arrivare in ritardo);Io credo che voi arriviate in ritardo.
я думаю, что они придут с опозданием (arrivare in ritardo);Io penso che loro arrivino in ritardo.
она хотела, чтобы я пришел поздно (arrivare in ritardo);Lei voleva che io arrivassi in ritardo.
он надеялся, что ты придешь поздно (arrivare in ritardo);Lui sperava che tu arrivassi in ritardo.
я думал, что он придет поздно (arrivare in ritardo);Io pensavo che lui arrivasse in ritardo.
мы верили, что она придет поздно (arrivare in ritardo);Noi credevamo che lei arrivasse in ritardo.
они боялись, что мы придем поздно (arrivare in ritardo);Loro temevano che noi arrivassimo in ritardo.
я хотел, чтобы вы пришли поздно (arrivare in ritardo);Io volevo che voi arrivaste in ritardo.
она думала, что они придут поздно (arrivare in ritardo);Lei pensava che loro arrivassero in ritardo.
он думает, что я уже пришел с опозданием (arrivare in ritardo);Lui pensa che io sia arrivato in ritardo.
она надеется, что ты уже пришел с опозданием (arrivare in ritardo);Lei spera che tu sia arrivato in ritardo.
я думаю, что он уже пришел с опозданием (arrivare in ritardo);Io penso che lui sia arrivato in ritardo.
мы верим, что она уже пришла с опозданием (arrivare in ritardo);Noi crediamo che lei sia arrivata in ritardo.
ты сомневаешься, что мы уже пришли с опозданием (arrivare in ritardo);Tu dubiti che noi siamo arrivati in ritardo.
он предполагает, что вы уже пришли с опозданием (arrivare in ritardo);Lui suppone che voi siate arrivati in ritardo.
я верю, что они уже пришли с опозданием (arrivare in ritardo);Io credo che loro siano arrivati in ritardo.
я представляю себе будущее (immaginare un futuro);Io immagino un futuro.
ты представляешь себе будущее (immaginare un futuro);Tu immagini un futuro.
он представляет себе будущее (immaginare un futuro);Lui immagina un futuro.
она представляет себе будущее (immaginare un futuro);Lei immagina un futuro.
мы представляем себе будущее (immaginare un futuro);Noi immaginiamo un futuro.
вы представляете себе будущее (immaginare un futuro);Voi immaginate un futuro.
они представляют себе будущее (immaginare un futuro);Loro immaginano un futuro.
я представлял себе будущее (immaginare un futuro);Io immaginavo un futuro.
ты представлял себе будущее (immaginare un futuro);Tu immaginavi un futuro.
он представлял себе будущее (immaginare un futuro);Lui immaginava un futuro.
она представляла себе будущее (immaginare un futuro);Lei immaginava un futuro.
мы представляли себе будущее (immaginare un futuro);Noi immaginavamo un futuro.
вы представляли себе будущее (immaginare un futuro);Voi immaginavate un futuro.
они представляли себе будущее (immaginare un futuro);Loro immaginavano un futuro.
я представил (immaginare) будущее (un futuro);Io immaginai un futuro.
ты представил (immaginare) будущее (un futuro);Tu immaginasti un futuro.
он представил (immaginare) будущее (un futuro);Lui immaginò un futuro.
она представила (immaginare) будущее (un futuro);Lei immaginò un futuro.
мы представили (immaginare) будущее (un futuro);Noi immaginarammo un futuro.
вы представили (immaginare) будущее (un futuro);Voi immaginarste un futuro.
они представили (immaginare) будущее (un futuro);Loro immaginarono un futuro.
я представил себе будущее (immaginare un futuro);Io ho immaginato un futuro.
ты представил себе будущее (immaginare un futuro);Tu hai immaginato un futuro.
он представил себе будущее (immaginare un futuro);Lui ha immaginato un futuro.
она представила себе будущее (immaginare un futuro);Lei ha immaginato un futuro.
мы представили себе будущее (immaginare un futuro);Noi abbiamo immaginato un futuro.
вы представили себе будущее (immaginare un futuro);Voi avete immaginato un futuro.
они представили себе будущее (immaginare un futuro);Loro hanno immaginato un futuro.
я уже представлял будущее (immaginare un futuro);Io avevo immaginato un futuro.
ты уже представлял будущее (immaginare un futuro);Tu avevi immaginato un futuro.
он уже представлял будущее (immaginare un futuro);Lui aveva immaginato un futuro.
она уже представляла будущее (immaginare un futuro);Lei aveva immaginato un futuro.
мы уже представляли будущее (immaginare un futuro);Noi avevamo immaginato un futuro.
вы уже представляли будущее (immaginare un futuro);Voi avevate immaginato un futuro.
они уже представляли будущее (immaginare un futuro);Loro avevano immaginato un futuro.
я представлю будущее (immaginare un futuro);Io immaginerò un futuro.
ты представишь будущее (immaginare un futuro);Tu immaginerai un futuro.
он представит будущее (immaginare un futuro);Lui immaginerà un futuro.
она представит будущее (immaginare un futuro);Lei immaginerà un futuro.
мы представим будущее (immaginare un futuro);Noi immagineremo un futuro.
вы представите будущее (immaginare un futuro);Voi immaginerete un futuro.
они представят будущее (immaginare un futuro);Loro immagineranno un futuro.
я успею представить будущее (immaginare un futuro);Io avrò immaginato un futuro.
ты успеешь представить будущее (immaginare un futuro);Tu avrai immaginato un futuro.
он успеет представить будущее (immaginare un futuro);Lui avrà immaginato un futuro.
она успеет представить будущее (immaginare un futuro);Lei avrà immaginato un futuro.
мы успеем представить будущее (immaginare un futuro);Noi avremo immaginato un futuro.
вы успеете представить будущее (immaginare un futuro);Voi avrete immaginato un futuro.
они успеют представить будущее (immaginare un futuro);Loro avranno immaginato un futuro.
я бы представил будущее (immaginare un futuro);Io immaginerei un futuro.
ты бы представил будущее (immaginare un futuro);Tu immagineresti un futuro.
он бы представил будущее (immaginare un futuro);Lui immaginerebbe un futuro.
она бы представила будущее (immaginare un futuro);Lei immaginerebbe un futuro.
мы бы представили будущее (immaginare un futuro);Noi immagineremmo un futuro.
вы бы представили будущее (immaginare un futuro);Voi immaginereste un futuro.
они бы представили будущее (immaginare un futuro);Loro immaginerebbero un futuro.
я бы представил будущее (immaginare un futuro);Io avrei immaginato un futuro.
ты бы представил будущее (immaginare un futuro);Tu avresti immaginato un futuro.
он бы представил будущее (immaginare un futuro);Lui avrebbe immaginato un futuro.
она бы представила будущее (immaginare un futuro);Lei avrebbe immaginato un futuro.
мы бы представили будущее (immaginare un futuro);Noi avremmo immaginato un futuro.
вы бы представили будущее (immaginare un futuro);Voi avreste immaginato un futuro.
они бы представили будущее (immaginare un futuro);Loro avrebbero immaginato un futuro.
она хочет, чтобы я представила будущее (immaginare un futuro);Lei vuole che io immagini un futuro.
он надеется, что ты представишь будущее (immaginare un futuro);Lui spera che tu immagini un futuro.
я думаю, что он представит будущее (immaginare un futuro);Io penso che lui immagini un futuro.
мы верим, что она представит будущее (immaginare un futuro);Noi crediamo che lei immagini un futuro.
ты думаешь, что мы представим будущее (immaginare un futuro);Tu pensi che noi immaginiamo un futuro.
я верю, что вы представите будущее (immaginare un futuro);Io credo che voi immaginiate un futuro.
он хочет, чтобы они представили будущее (immaginare un futuro);Lui vuole che loro immaginino un futuro.
он хотел, чтобы я представил решение (immaginare una soluzione);Lui voleva che io immaginassi una soluzione.
она хотела, чтобы ты представил решение (immaginare una soluzione);Lei voleva che tu immaginassi una soluzione.
я думал, что он представит решение (immaginare una soluzione);Io pensavo che lui immaginasse una soluzione.
мы надеялись, что она представит решение (immaginare una soluzione);Noi speravamo che lei immaginasse una soluzione.
они верили, что мы представим решение (immaginare una soluzione);Loro credevano che noi immaginassimo una soluzione.
я боялся, что вы представите решение (immaginare una soluzione);Io temevo che voi immaginaste una soluzione.
он хотел, чтобы они представили решение (immaginare una soluzione);Lui voleva che loro immaginassero una soluzione.
он думает, что я уже придумал решение (immaginare una soluzione);Lui pensa che io abbia immaginato una soluzione.
она верит, что ты уже придумал решение (immaginare una soluzione);Lei crede che tu abbia immaginato una soluzione.
я надеюсь, что он уже придумал решение (immaginare una soluzione);Io spero che lui abbia immaginato una soluzione.
мы сомневаемся, что она уже придумала решение (immaginare una soluzione);Noi dubitiamo che lei abbia immaginato una soluzione.
ты думаешь, что мы уже придумали решение (immaginare una soluzione);Tu pensi che noi abbiamo immaginato una soluzione.
я верю, что вы уже придумали решение (immaginare una soluzione);Io credo che voi abbiate immaginato una soluzione.
он предполагает, что они уже придумали решение (immaginare una soluzione);Lui suppone che loro abbiano immaginato una soluzione.
я становлюсь знаменитым (diventare famoso);Io divento famoso.
ты становишься знаменитым (diventare famoso);Tu diventi famoso.
он становится знаменитым (diventare famoso);Lui diventa famoso.
она становится знаменитой (diventare famoso);Lei diventa famosa.
мы становимся знаменитыми (diventare famoso);Noi diventiamo famosi.
вы становитесь знаменитыми (diventare famoso);Voi diventate famosi.
они становятся знаменитыми (diventare famoso);Loro diventano famosi.
я становился знаменитым (diventare famoso);Io diventavo famoso.
ты становился знаменитым (diventare famoso);Tu diventavi famoso.
он становился знаменитым (diventare famoso);Lui diventava famoso.
она становилась знаменитой (diventare famoso);Lei diventava famosa.
мы становились знаменитыми (diventare famoso);Noi diventavamo famosi.
вы становились знаменитыми (diventare famoso);Voi diventavate famosi.
они становились знаменитыми (diventare famoso);Loro diventavano famosi.
я стал знаменитым (diventare famoso);Io diventai famoso.
ты стал знаменитым (diventare famoso);Tu diventasti famoso.
он стал знаменитым (diventare famoso);Lui diventò famoso.
она стала знаменитой (diventare famoso);Lei diventò famosa.
мы стали знаменитыми (diventare famoso);Noi diventammo famosi.
вы стали знаменитыми (diventare famoso);Voi diventaste famosi.
они стали знаменитыми (diventare famoso);Loro diventarono famosi.
я стал знаменитым (diventare famoso);Io sono diventato famoso.
ты стал знаменитым (diventare famoso);Tu sei diventato famoso.
он стал знаменитым (diventare famoso);Lui è diventato famoso.
она стала знаменитой (diventare famoso);Lei è diventata famosa.
мы стали знаменитыми (diventare famoso);Noi siamo diventati famosi.
вы стали знаменитыми (diventare famoso);Voi siete diventati famosi.
они стали знаменитыми (diventare famoso);Loro sono diventati famosi.
я уже стал знаменитым (diventare famoso);Io ero diventato famoso.
ты уже стал знаменитым (diventare famoso);Tu eri diventato famoso.
он уже стал знаменитым (diventare famoso);Lui era diventato famoso.
она уже стала знаменитой (diventare famoso);Lei era diventata famosa.
мы уже стали знаменитыми (diventare famoso);Noi eravamo diventati famosi.
вы уже стали знаменитыми (diventare famoso);Voi eravate diventati famosi.
они уже стали знаменитыми (diventare famoso);Loro erano diventati famosi.
я стану знаменитым (diventare famoso);Io diventerò famoso.
ты станешь знаменитым (diventare famoso);Tu diventerai famoso.
он станет знаменитым (diventare famoso);Lui diventerà famoso.
она станет знаменитой (diventare famoso);Lei diventerà famosa.
мы станем знаменитыми (diventare famoso);Noi diventeremo famosi.
вы станете знаменитыми (diventare famoso);Voi diventerete famosi.
они станут знаменитыми (diventare famoso);Loro diventeranno famosi.
я успею стать знаменитым (diventare famoso);Io sarò diventato famoso.
ты успеешь стать знаменитым (diventare famoso);Tu sarai diventato famoso.
он успеет стать знаменитым (diventare famoso);Lui sarà diventato famoso.
она успеет стать знаменитой (diventare famoso);Lei sarà diventata famosa.
мы успеем стать знаменитыми (diventare famoso);Noi saremo diventati famosi.
вы успеете стать знаменитыми (diventare famoso);Voi sarete diventati famosi.
они успеют стать знаменитыми (diventare famoso);Loro saranno diventati famosi.
я бы стал знаменитым (diventare famoso);Io diventerei famoso.
ты бы стал знаменитым (diventare famoso);Tu diventeresti famoso.
он бы стал знаменитым (diventare famoso);Lui diventerebbe famoso.
она бы стала знаменитой (diventare famoso);Lei diventerebbe famosa.
мы бы стали знаменитыми (diventare famoso);Noi diventeremmo famosi.
вы бы стали знаменитыми (diventare famoso);Voi diventereste famosi.
они бы стали знаменитыми (diventare famoso);Loro diventerebbero famosi.
я бы стал знаменитым (diventare famoso);Io sarei diventato famoso.
ты бы стал знаменитым (diventare famoso);Tu saresti diventato famoso.
он бы стал знаменитым (diventare famoso);Lui sarebbe diventato famoso.
она бы стала знаменитой (diventare famoso);Lei sarebbe diventata famosa.
мы бы стали знаменитыми (diventare famoso);Noi saremmo diventati famosi.
вы бы стали знаменитыми (diventare famoso);Voi sareste diventati famosi.
они бы стали знаменитыми (diventare famoso);Loro sarebbero diventati famosi.
он хочет, чтобы я стал знаменитым (diventare famoso);Lui vuole che io diventi famoso.
она хочет, чтобы ты стал знаменитым (diventare famoso);Lei vuole che tu diventi famoso.
я думаю, что он станет знаменитым (diventare famoso);Io penso che lui diventi famoso.
мы думаем, что она станет знаменитой (diventare famoso);Noi pensiamo che lei diventi famosa.
я верю, что мы станем знаменитыми (diventare famoso);Io credo che noi diventiamo famosi.
он надеется, что вы станете знаменитыми (diventare famoso);Lui spera che voi diventiate famosi.
я думаю, что они станут знаменитыми (diventare famoso);Io penso che loro diventino famosi.
он хотел, чтобы я стал знаменитым (diventare famoso);Lui voleva che io diventassi famoso.
она хотела, чтобы ты стал знаменитым (diventare famoso);Lei voleva che tu diventassi famoso.
я думал, что он станет знаменитым (diventare famoso);Io pensavo che lui diventasse famoso.
мы верили, что она станет знаменитой (diventare famoso);Noi credevamo che lei diventasse famosa.
они надеялись, что мы станем знаменитыми (diventare famoso);Loro speravano che noi diventassimo famosi.
он боялся, что вы станете знаменитыми (diventare famoso);Lui temeva che voi diventaste famosi.
я хотел, чтобы они стали знаменитыми (diventare famoso);Io volevo che loro diventassero famosi.
он думает, что я стал знаменитым (diventare famoso);Lui pensa che io sia diventato famoso.
она надеется, что ты станешь знаменитым (diventare famoso);Lei spera che tu sia diventato famoso.
я думаю, что он стал знаменитым (diventare famoso);Io penso che lui sia diventato famoso.
мы верим, что она стала знаменитой (diventare famoso);Noi crediamo che lei sia diventata famosa.
ты думаешь, что мы стали знаменитыми (diventare famoso);Tu pensi che noi siamo diventati famosi.
я сомневаюсь, что вы стали знаменитыми (diventare famoso);Io dubito che voi siate diventati famosi.
он предполагает, что они стали знаменитыми (diventare famoso);Lui suppone che loro siano diventati famosi.
я ошибаюсь в дороге (sbagliare strada);Io sbaglio strada.
ты ошибаешься в дороге (sbagliare strada);Tu sbagli strada.
он ошибается в дороге (sbagliare strada);Lui sbaglia strada.
она ошибается в дороге (sbagliare strada);Lei sbaglia strada.
мы ошибаемся в дороге (sbagliare strada);Noi sbagliamo strada.
вы ошибаетесь в дороге (sbagliare strada);Voi sbagliate strada.
они ошибаются в дороге (sbagliare strada);Loro sbagliano strada.
я сбивался с пути (sbagliare strada);Io sbagliavo strada.
ты сбивался с пути (sbagliare strada);Tu sbagliavi strada.
он сбивался с пути (sbagliare strada);Lui sbagliava strada.
она сбивалась с пути (sbagliare strada);Lei sbagliava strada.
мы сбивались с пути (sbagliare strada);Noi sbagliavamo strada.
вы сбивались с пути (sbagliare strada);Voi sbagliavate strada.
они сбивались с пути (sbagliare strada);Loro sbagliavano strada.
я сбился с пути (sbagliare strada);Io sbagliai la strada.
ты сбился с пути (sbagliare strada);Tu sbagliasti la strada.
он сбился с пути (sbagliare strada);Lui sbagliò la strada.
она сбилась с пути (sbagliare strada);Lei sbagliò la strada.
мы сбились с пути (sbagliare strada);Noi sbagliammo la strada.
вы сбились с пути (sbagliare strada);Voi sbagliaste la strada.
они сбились с пути (sbagliare strada);Loro sbagliarono la strada.
я перепутал дорогу (sbagliare strada);Io ho sbagliato strada.
ты перепутал дорогу (sbagliare strada);Tu hai sbagliato strada.
он перепутал дорогу (sbagliare strada);Lui ha sbagliato strada.
она перепутала дорогу (sbagliare strada);Lei ha sbagliato strada.
мы перепутали дорогу (sbagliare strada);Noi abbiamo sbagliato strada.
вы перепутали дорогу (sbagliare strada);Voi avete sbagliato strada.
они перепутали дорогу (sbagliare strada);Loro hanno sbagliato strada.
я уже сбился с пути (sbagliare strada);Io avevo sbagliato strada.
ты уже сбился с пути (sbagliare strada);Tu avevi sbagliato strada.
он уже сбился с пути (sbagliare strada);Lui aveva sbagliato strada.
она уже сбилась с пути (sbagliare strada);Lei aveva sbagliato strada.
мы уже сбились с пути (sbagliare strada);Noi avevamo sbagliato strada.
вы уже сбились с пути (sbagliare strada);Voi avevate sbagliato strada.
они уже сбились с пути (sbagliare strada);Loro avevano sbagliato strada.
я ошибусь в дороге (sbagliare strada);Io sbaglierò strada.
ты ошибешься в дороге (sbagliare strada);Tu sbaglierai strada.
он ошибется в дороге (sbagliare strada);Lui sbaglierà strada.
она ошибется в дороге (sbagliare strada);Lei sbaglierà strada.
мы ошибемся в дороге (sbagliare strada);Noi sbaglieremo strada.
вы ошибетесь в дороге (sbagliare strada);Voi sbaglierete strada.
они ошибутся в дороге (sbagliare strada);Loro sbaglieranno strada.
я успею ошибиться в дороге (sbagliare strada);Io avrò sbagliato strada.
ты успеешь ошибиться в дороге (sbagliare strada);Tu avrai sbagliato strada.
он успеет ошибиться в дороге (sbagliare strada);Lui avrà sbagliato strada.
она успеет ошибиться в дороге (sbagliare strada);Lei avrà sbagliato strada.
мы успеем ошибиться в дороге (sbagliare strada);Noi avremo sbagliato strada.
вы успеете ошибиться в дороге (sbagliare strada);Voi avrete sbagliato strada.
они успеют ошибиться в дороге (sbagliare strada);Loro avranno sbagliato strada.
я бы перепутал дорогу (sbagliare strada);Io sbaglierei la strada.
ты бы перепутал дорогу (sbagliare strada);Tu sbaglieresti la strada.
он бы перепутал дорогу (sbagliare strada);Lui sbaglierebbe la strada.
она бы перепутала дорогу (sbagliare strada);Lei sbaglierebbe la strada.
мы бы перепутали дорогу (sbagliare strada);Noi sbaglieremmo la strada.
вы бы перепутали дорогу (sbagliare strada);Voi sbagliereste la strada.
они бы перепутали дорогу (sbagliare strada);Loro sbaglierebbero la strada.
я бы ошибся в дороге (sbagliare strada);Io avrei sbagliato strada.
ты бы ошибся в дороге (sbagliare strada);Tu avresti sbagliato strada.
он бы ошибся в дороге (sbagliare strada);Lui avrebbe sbagliato strada.
она бы ошиблась в дороге (sbagliare strada);Lei avrebbe sbagliato strada.
мы бы ошиблись в дороге (sbagliare strada);Noi avremmo sbagliato strada.
вы бы ошиблись в дороге (sbagliare strada);Voi avreste sbagliato strada.
они бы ошиблись в дороге (sbagliare strada);Loro avrebbero sbagliato strada.
он хочет, чтобы я сбился с пути (sbagliare strada);Lui vuole che io sbagli strada.
она боится, что ты собьешься с пути (sbagliare strada);Lei teme che tu sbagli strada.
я думаю, что он собьется с пути (sbagliare strada);Io penso che lui sbagli strada.
мы верим, что она собьется с пути (sbagliare strada);Noi crediamo che lei sbagli strada.
ты надеешься, что мы собьемся с пути (sbagliare strada);Tu speri che noi sbagliamo strada.
я считаю, что вы собьетесь с пути (sbagliare strada);Io credo che voi sbagliate strada.
он думает, что они собьются с пути (sbagliare strada);Lui pensa che loro sbaglino strada.
он хотел, чтобы я сбился с пути (sbagliare strada);Lui voleva che io sbagliassi strada.
она думала, что ты собьешься с пути (sbagliare strada);Lei pensava che tu sbagliassi strada.
я надеялся, что он собьется с пути (sbagliare strada);Io speravo che lui sbagliasse strada.
мы боялись, что она собьется с пути (sbagliare strada);Noi temevamo che lei sbagliasse strada.
ты верил, что мы собьемся с пути (sbagliare strada);Tu credevi che noi sbagliassimo strada.
он хотел, чтобы вы сбились с пути (sbagliare strada);Lui voleva che voi sbagliaste strada.
я думал, что они собьются с пути (sbagliare strada);Io pensavo che loro sbagliassero strada.
он думает, что я сбился с пути (sbagliare strada);Lui pensa che io abbia sbagliato strada.
она думает, что ты сбился с пути (sbagliare strada);Lei pensa che tu abbia sbagliato strada.
я думаю, что он сбился с пути (sbagliare strada);Io penso che lui abbia sbagliato strada.
мы думаем, что она сбилась с пути (sbagliare strada);Noi pensiamo che lei abbia sbagliato strada.
ты думаешь, что мы сбились с пути (sbagliare strada);Tu pensi che noi abbiamo sbagliato strada.
я думаю, что вы сбились с пути (sbagliare strada);Io penso che voi abbiate sbagliato strada.
он думает, что они сбились с пути (sbagliare strada);Lui pensa che loro abbiano sbagliato strada.
я узнаю правду (la verità);Io scopro la verità.
ты узнаешь правду (la verità);Tu scopri la verità.
он узнает правду (la verità);Lui scopre la verità.
она узнает правду (la verità);Lei scopre la verità.
мы узнаем правду (la verità);Noi scopriamo la verità.
вы узнаете правду (la verità);Voi scoprite la verità.
они узнают правду (la verità);Loro scoprono la verità.
я открывал секрет (scoprire il segreto);Io scoprivo il segreto.
ты открывал секрет (scoprire il segreto);Tu scoprivi il segreto.
он открывал секрет (scoprire il segreto);Lui scopriva il segreto.
она открывала секрет (scoprire il segreto);Lei scopriva il segreto.
мы открывали секрет (scoprire il segreto);Noi scoprivamo il segreto.
вы открывали секрет (scoprire il segreto);Voi scoprivate il segreto.
они открывали секрет (scoprire il segreto);Loro scoprivano il segreto.
я открыл секрет (scoprire il segreto);Io scoprii il segreto.
ты открыл секрет (scoprire il segreto);Tu scopristi il segreto.
он открыл секрет (scoprire il segreto);Lui scoprì il segreto.
она открыла секрет (scoprire il segreto);Lei scoprì il segreto.
мы открыли секрет (scoprire il segreto);Noi scoprimmo il segreto.
вы открыли секрет (scoprire il segreto);Voi scopriste il segreto.
они открыли секрет (scoprire il segreto);Loro scoprirono il segreto.
я открыл секрет (scoprire il segreto);Io ho scoperto il segreto.
ты открыл секрет (scoprire il segreto);Tu hai scoperto il segreto.
он открыл секрет (scoprire il segreto);Lui ha scoperto il segreto.
она открыла секрет (scoprire il segreto);Lei ha scoperto il segreto.
мы открыли секрет (scoprire il segreto);Noi abbiamo scoperto il segreto.
вы открыли секрет (scoprire il segreto);Voi avete scoperto il segreto.
они открыли секрет (scoprire il segreto);Loro hanno scoperto il segreto.
я уже узнал правду (scoprire la verità);Io avevo scoperto la verità.
ты уже узнал правду (scoprire la verità);Tu avevi scoperto la verità.
он уже узнал правду (scoprire la verità);Lui aveva scoperto la verità.
она уже узнала правду (scoprire la verità);Lei aveva scoperto la verità.
мы уже узнали правду (scoprire la verità);Noi avevamo scoperto la verità.
вы уже узнали правду (scoprire la verità);Voi avevate scoperto la verità.
они уже узнали правду (scoprire la verità);Loro avevano scoperto la verità.
я открою секрет (scoprire il segreto);Io scoprirò il segreto.
ты откроешь секрет (scoprire il segreto);Tu scoprirai il segreto.
он откроет секрет (scoprire il segreto);Lui scoprirà il segreto.
она откроет секрет (scoprire il segreto);Lei scoprirà il segreto.
мы откроем секрет (scoprire il segreto);Noi scopriremo il segreto.
вы откроете секрет (scoprire il segreto);Voi scoprirete il segreto.
они откроют секрет (scoprire il segreto);Loro scopriranno il segreto.
я уже успею узнать правду (scoprire la verità);Io avrò scoperto la verità.
ты уже успеешь узнать правду (scoprire la verità);Tu avrai scoperto la verità.
он уже успеет узнать правду (scoprire la verità);Lui avrà scoperto la verità.
она уже успеет узнать правду (scoprire la verità);Lei avrà scoperto la verità.
мы уже успеем узнать правду (scoprire la verità);Noi avremo scoperto la verità.
вы уже успеете узнать правду (scoprire la verità);Voi avrete scoperto la verità.
они уже успеют узнать правду (scoprire la verità);Loro avranno scoperto la verità.
я бы открыл секрет (scoprire il segreto);Io scoprirei il segreto.
ты бы открыл секрет (scoprire il segreto);Tu scopriresti il segreto.
он бы открыл секрет (scoprire il segreto);Lui scoprirebbe il segreto.
она бы открыла секрет (scoprire il segreto);Lei scoprirebbe il segreto.
